date,DGS1MO,DGS3MO,DGS6MO,DGS1,DGS2,DGS3,DGS5,DGS7,DGS10,DGS20,DGS30
2008-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-16,-0.007967272775797668,-0.007298601018785253,-0.010343725054376364,0.011992979463067842,-7.412826797094472e-05,-0.009186679841447333,0.0016863064443086659,0.00030405854100337156,0.007087575733666125,0.012883775661277491,0.00023196262577479784
2008-09-17,-0.01226702495976413,-0.0029142539241239123,-0.019896192621089333,0.0021894015986041997,0.016563822405008755,-0.030566053983240943,0.006796630680455596,0.020543207233694356,0.01940135779880034,0.011925446330634398,0.006902194628459343
2008-09-18,-0.00880632816647514,-0.010290475742536116,-0.02977295215298663,-0.00719367673539327,0.017780375650099507,-0.017453779823978135,0.0007475705817749272,0.004040350647398511,0.02717697231557842,0.009865055875717095,-0.013949180229384774
2008-09-19,-0.02229159654206668,-0.013015653554812042,-0.024921341160929207,-0.031012284848413743,0.014556000399189712,-0.024600159091053016,-0.0002918352270723074,-0.0017753709653326724,0.04754401737427476,0.015573475312792677,0.007068785736479247
2008-09-22,-0.02662638622138157,-0.0086984481187054,-0.030313810284179264,-0.014597652416205302,0.008076875251196413,-0.013247390274954704,-0.0011405992269645452,-0.0016969164827214788,0.052899850785041926,0.016351737429248323,0.004038919780242473
2008-09-23,-0.027404740365009412,-0.003838660592495242,-0.03243953454530076,-0.023551500493742945,0.016764471635555035,-0.0028404587965489714,0.006858971136423345,0.009428960609270141,0.05110367206513265,0.012232774013385761,-0.01640982646395727
2008-09-24,-0.038758768973964366,-0.014981096552172161,-0.02382778531268811,-0.025130875877990407,0.008208623242017534,-0.0159814475972511,-0.004065813389770816,0.013175720450994471,0.054301530879668394,0.017179338376191705,-0.015027234585627427
2008-09-25,-0.02115575332085056,-0.005357610425652276,-0.031821589072899066,-0.03454816888405011,0.02637506178685299,-0.027146551689516747,-0.004845698285764687,0.016032514108504464,0.06650481720445034,0.010439179410967402,-0.014891147013333935
2008-09-26,-0.03005434448510034,0.005568783029886049,-0.034797626572342984,-0.027910565987525563,0.04541113860283954,-0.0018225138314970982,0.014009893594844934,0.0045119422986654705,0.05847965899317148,0.00411253185771628,-0.015908437916496883
